state,value
Alabama,100
Alaska,100
Arizona,95.92768279
Arkansas,100
California,74.36054916
Colorado,90.94503914
Connecticut,44.04971327
Delaware,0
Washington DC,26.15768594
Florida,100
Georgia,89.33849201
Hawaii,100
Idaho,96.24411623
Illinois,100
Indiana,99.42622222
Iowa,84.66973056
Kansas,100
Kentucky,89.79000816
Louisiana,100
Maine,100
Maryland,98.08902722
Massachusetts,41.97636147
Michigan,94.38566847
Minnesota,100
Mississippi,95.61300106
Missouri,94.21001752
Montana,98.66431275
Nebraska,100
Nevada,82.73911783
New Hampshire,96.60452511
New Jersey,96.47574528
New Mexico,83.65655353
New York,75.68711265
North Carolina,95.42243568
North Dakota,91.53996291
Ohio,81.46998629
Oklahoma,93.31016261
Oregon,97.14441053
Pennsylvania,91.33688709
Rhode Island,85.50855235
South Carolina,76.30196
South Dakota,100
Tennessee,89.68053068
Texas,94.57211957
Utah,100
Vermont,0
Virginia,84.18975509
Washington,83.13151922
West Virginia,98.88592678
Wisconsin,100
Wyoming,100
"""""",0
"""""",0
