state,value
Alabama,99.73257677
Alaska,99.86476851
Arizona,97.61691046
Arkansas,97.91585779
California,87.19349919
Colorado,95.96672105
Connecticut,89.02501393
Delaware,93.96657132
Washington DC,43.23180089
Florida,96.43536543
Georgia,95.12996861
Hawaii,81.46377198
Idaho,99.6108177
Illinois,96.50201994
Indiana,99.43239832
Iowa,99.96868056
Kansas,99.65731558
Kentucky,99.12964338
Louisiana,97.28538156
Maine,99.83767331
Maryland,87.24953714
Massachusetts,87.48088364
Michigan,97.57964626
Minnesota,93.89347768
Mississippi,100
Missouri,98.98251851
Montana,99.60913945
Nebraska,98.90077048
Nevada,99.10382243
New Hampshire,99.61292739
New Jersey,93.14820766
New Mexico,99.7333101
New York,95.74528864
North Carolina,97.89753122
North Dakota,98.73541074
Ohio,98.05539453
Oklahoma,99.1761051
Oregon,96.57754646
Pennsylvania,96.96798273
Rhode Island,94.55763513
South Carolina,99.66100402
South Dakota,100
Tennessee,97.1250405
Texas,94.91949659
Utah,97.78745827
Vermont,100
Virginia,94.86547032
Washington,93.7729131
West Virginia,98.76054801
Wisconsin,98.82656719
Wyoming,100
"",0 
"",0
