state,year,value
"None",2012,0
Michigan,2012,97.57964626
California,2012,87.19349919
Kentucky,2012,99.12964338
Idaho,2012,99.6108177
Oregon,2012,96.57754646
Iowa,2012,99.96868056
North Dakota,2012,98.73541074
Georgia,2012,95.12996861
New Hampshire,2012,99.61292739
North Carolina,2012,97.89753122
Washington,2012,93.7729131
Alaska,2012,99.86476851
South Carolina,2012,99.66100402
Kansas,2012,99.65731558
Indiana,2012,99.43239832
Delaware,2012,93.96657132
Illinois,2012,96.50201994
Wisconsin,2012,98.82656719
Ohio,2012,98.05539453
Massachusetts,2012,87.48088364
Wyoming,2012,100
Utah,2012,97.78745827
Nebraska,2012,98.90077048
Hawaii,2012,81.46377198
Minnesota,2012,93.89347768
Missouri,2012,98.98251851
South Dakota,2012,100
Rhode Island,2012,94.55763513
Tennessee,2012,97.1250405
Arizona,2012,97.61691046
New York,2012,95.74528864
Florida,2012,96.43536543
Nevada,2012,99.10382243
Alabama,2012,99.73257677
Maryland,2012,87.24953714
Colorado,2012,95.96672105
Vermont,2012,100
Connecticut,2012,89.02501393
Montana,2012,99.60913945
Virginia,2012,94.86547032
Texas,2012,94.91949659
Mississippi,2012,100
Washington DC,2012,43.23180089
Louisiana,2012,97.28538156
New Mexico,2012,99.7333101
Oklahoma,2012,99.1761051
West Virginia,2012,98.76054801
Maine,2012,99.83767331
Arkansas,2012,97.91585779
New Jersey,2012,93.14820766
Pennsylvania,2012,96.96798273
Michigan,2013,97.51785098
California,2013,88.05055451
Kentucky,2013,98.80183259
Idaho,2013,99.61648197
Oregon,2013,95.81996018
Iowa,2013,99.97035812
North Dakota,2013,99.81901984
Georgia,2013,93.32254476
New Hampshire,2013,99.5192109
North Carolina,2013,97.39033905
Washington,2013,93.35018909
Alaska,2013,99.74288282
South Carolina,2013,99.02264625
Kansas,2013,99.54883802
Indiana,2013,99.10026497
Delaware,2013,93.555468
Illinois,2013,95.91531169
Wisconsin,2013,98.17890547
Ohio,2013,97.57541287
Massachusetts,2013,85.78674622
Wyoming,2013,99.96071545
Utah,2013,98.5606898
Nebraska,2013,100
Hawaii,2013,79.12156717
Minnesota,2013,93.87851816
Missouri,2013,98.70833825
South Dakota,2013,100
Rhode Island,2013,94.81833331
Tennessee,2013,96.40636709
Arizona,2013,97.75622874
New York,2013,94.28559431
Florida,2013,94.80978196
